Days to 50% Flowering;Days to 50% Pod Setting;Number of Pods per Plant;Plant Height (cm);First Pod Height (cm);Biological Yield (g);1000-Seed Weight (g);Seed Yield per Plant (g);Total Seed Yield (kg/da)
70;79;46;17.6;9.5;5.54;42.1;2.27;192.96
68;77;66;22.77;11.88;9.78;44.82;3.51;264.22
71;81;38;19.7;10.15;5.59;48.5;2.28;195.61
69;79;25;22.6;15.4;2.69;44.8;1.21;114.92
70;81;15;24.63;13.28;1.37;41.1;0.74;83.59
71;80;11;21.78;13.35;1.3;39.05;0.43;67.14
74;82;51;23;16;7.27;40.7;2.45;208.25
69;76;33;24.34;16.65;5.35;48.1;1.85;167.48
71;78;40;17.36;11.18;5.09;40.8;1.94;176.28
70;80;29;24.8;16.9;2.12;36.4;0.93;104.58
69;78;51;20.92;14.15;3.2;34.2;1.56;143.33
70;80;17;22.45;12.28;1.28;35.5;0.63;71.28
69;79;43;23;15.5;3.22;40.11;1.89;170.13
70;80;26;21.62;13.33;3.21;40.8;0.85;95.19
72;81;18;24.14;16.48;2.68;41.55;0.93;104.31
71;80;48;21.5;13;5.61;41.9;2.59;208.35
70;79;40;20.47;13.36;2.82;29.5;1.3;125.65
70;80;28;21.85;11.08;3.09;43.1;1.39;132.07
68;78;58;23;14;11.1;38.9;2.83;226.48
69;79;35;21.37;15.15;4.13;37.2;1.48;141.33
69;80;48;27.18;17.03;8.48;37.8;2.61;209.08
69;79;22;22.54;16.46;2.48;44.4;1.2;114.17
71;81;41;23;17;3.97;35.44;1.54;146.32
69;79;17;17.65;12.55;1.72;39.5;0.79;90.47
70;81;47;22.5;12;7.76;44.3;2.38;202.36
69;79;31;18.12;13.52;3.19;42.8;1.56;142.28
69;79;36;23.35;16.63;5.09;49.7;2.09;177.68
77;91;39;22.8;10.5;4.14;46.62;1.38;149.43
70;83;33;25.32;13.66;3.56;43.51;1.54;140.65
70;81;25;19.88;10.88;2.37;35.45;1.03;98.14
71;82;16;21;16;2.24;33.3;0.76;83.68
68;79;27;18.08;13.52;1.57;37.1;0.77;85.22
70;80;21;19.61;12.12;1.88;38.6;0.88;97.18
75;85;48;25.6;14.8;12.46;40.47;2.18;185.33
66;78;49;24.45;11.15;6.24;41.19;2.35;200.48
65;74;42;19.68;10.47;4.24;38.28;1.68;151.25
69;76;33;20;10;3.5;33.9;1.4;133.17
68;76;17;24.56;16.55;2.03;46.2;1.11;105.41
69;77;41;21.54;10.05;3.99;41.05;1.93;173.72
77;89;24;22.8;15.3;3.55;37.54;1.38;105.47
69;81;50;23.85;13.68;6.07;37.09;2.17;185.82
69;79;40;25.62;16.46;4.32;38.49;1.61;144.92
70;82;42;19;15;5.88;43.3;2.64;211.28
73;84;52;22.3;22.62;6.81;41.2;2.83;226.61
71;82;36;22.72;11.55;3.59;41.6;1.64;147.65
65;78;41;23.8;14.1;6.91;39.55;1.79;161.13
70;81;31;26.55;13.85;4.69;46.38;1.78;162.36
68;79;48;20.13;10.47;5.29;38.63;2.15;182.78
67;81;31;27.5;10;6.39;41.3;1.07;101.67
70;80;33;17.41;8.55;2.67;39.1;1.1;104.55
69;77;24;22.49;14.82;2.68;42.7;1.16;110.28
62;69;33;19.3;11.4;3.98;45.37;1.65;148.53
72;82;59;24.33;16.25;6.88;39.78;3;242.25
63;74;44;24.98;14.58;4.86;45.33;2.07;175.93
73;81;11;19;12.5;1.44;42.5;0.58;66.84
68;77;25;18.18;13.35;2.01;32.5;0.87;96.72
70;79;29;25.25;16.36;3.07;33.1;0.69;79.62
66;75;27;26.5;13.7;3.45;46.73;1.38;98.88
71;79;39;25.65;15.7;3.75;42.55;1.48;143.22
70;81;35;22.45;12.68;3.83;40.55;1.52;136.83
67;79;18;28;13;2.9;49.6;1.03;97.82
70;81;25;23.55;22.68;2.3;43.5;1.4;135.18
67;77;15;24.65;12.32;1.7;41.7;0.7;81.14
72;84;39;20.9;13.8;6.81;44.74;1.89;170.13
71;83;40;28.42;14.65;4.82;45.78;1.94;169.41
65;74;32;19.41;9.79;3.67;39.65;1.57;141.34
